23.07.2025,20:00,Nashville
24.07.2025,22:00,Baku
25.07.2025,14:00,Brussels
26.07.2025,14:00,Sarajevo
27.07.2025,14:00,Dubrovnik
28.07.2025,20:00,Copenhagen
29.07.2025,20:00,Bucharest
30.07.2025,20:00,Kyiv
31.07.2025,20:00,Moscow
01.08.2025,20:00,Baku
02.08.2025,14:00,Jakarta
03.08.2025,20:00,Shanghai
04.08.2025,20:00,Tokyo
05.08.2025,20:00,Melbourne
06.08.2025,14:00,São Paulo
07.08.2025,14:00,Rio de Janeiro
08.08.2025,14:00,Toronto
09.08.2025,14:00,Montreal
10.08.2025,14:00,New York
11.08.2025,14:00,Chicago
12.08.2025,14:00,Nashville
13.08.2025,14:00,Seattle
14.08.2025,14:00,Los Angeles
15.08.2025,14:00,Amsterdam
16.08.2025,14:00,Porto
17.08.2025,14:00,Sofia
18.08.2025,14:00,Antalya
19.08.2025,14:00,Johannesburg
20.08.2025,14:00,Buenos Aires
21.08.2025,00:00,
22.08.2025,00:00,
23.08.2025,00:00,
24.08.2025,00:00,
25.08.2025,00:00,
26.08.2025,00:00,
27.08.2025,00:00,
28.08.2025,00:00,
29.08.2025,20:00,Kyiv
30.08.2025,22:00,Moscow
31.08.2025,22:00,Toronto
01.09.2025,00:00,
02.09.2025,22:00,Singapore
03.09.2025,22:00,Shanghai
04.09.2025,22:00,Chicago
05.09.2025,22:00,Seattle
06.09.2025,22:00,New York
07.09.2025,22:00,Buenos Aires
08.09.2025,22:00,Madrid
09.09.2025,00:00,
10.09.2025,22:00,Tokyo
11.09.2025,22:00,Jakarta
12.09.2025,22:00,Los Angeles
13.09.2025,20:00,Montreal
14.09.2025,20:00,Stockholm
15.09.2025,22:00,Copenhagen
16.09.2025,00:00,
17.09.2025,20:00,Nashville
18.09.2025,22:00,Rio de Janeiro
19.09.2025,22:00,Buenos Aires
20.09.2025,22:00,Madrid
21.09.2025,14:00,Brussels
22.09.2025,14:00,Sarajevo
23.09.2025,14:00,Dubrovnik
24.09.2025,20:00,Copenhagen
25.09.2025,20:00,Bucharest
26.09.2025,20:00,Kyiv
27.09.2025,20:00,Moscow
28.09.2025,20:00,Baku
29.09.2025,14:00,Jakarta
30.09.2025,20:00,Shanghai
01.10.2025,20:00,Tokyo
02.10.2025,20:00,Melbourne
03.10.2025,14:00,São Paulo
04.10.2025,14:00,Rio de Janeiro
05.10.2025,14:00,Toronto
06.10.2025,14:00,Montreal
07.10.2025,14:00,New York
08.10.2025,14:00,Chicago
09.10.2025,14:00,Nashville
10.10.2025,14:00,Seattle
11.10.2025,14:00,Los Angeles
12.10.2025,14:00,Amsterdam
13.10.2025,14:00,Porto
14.10.2025,14:00,Sofia
15.10.2025,14:00,Antalya
16.10.2025,14:00,Johannesburg
17.10.2025,14:00,Buenos Aires
18.10.2025,00:00,
19.10.2025,00:00,
20.10.2025,00:00,
21.10.2025,00:00,
22.10.2025,00:00,
23.10.2025,00:00,
24.10.2025,00:00,
25.10.2025,00:00,
26.10.2025,20:00,Kyiv
27.10.2025,22:00,Moscow
28.10.2025,22:00,Toronto
29.10.2025,22:00,Paris
30.10.2025,00:00,
31.10.2025,18:00,Chicago
01.11.2025,00:00,
02.11.2025,20:00,New York
03.11.2025,20:00,Kyiv
04.11.2025,20:00,Seattle
05.11.2025,22:00,Buenos Aires
06.11.2025,18:00,Madrid
07.11.2025,20:00,Montreal
08.11.2025,14:00,Rio de Janeiro
09.11.2025,12:00,Stockholm
10.11.2025,14:00,Los Angeles
11.11.2025,16:00,Copenhagen
12.11.2025,18:00,Melbourne
13.11.2025,22:00,Rio de Janeiro
